episode,Reward,R2C,REL,nb_requests,nb_accepted_requests,avr_iteration,nb_rejected_requests,node_rejection,link_rejection,nb_vnfs,nb_vls,avr_cpu_used,max_cpu_used,avr_bw_used,max_bw_used,avr_used_nodes,max_used_nodes,avr_used_links,max_used_links,nb_scaling_up,nb_scaling_down,nb_accepted_scaling,nb_rejected_scaling
0,-0.021760695443049635,0.20093994627178133, 0.9292537798266687,123,70,1.0,53,0,53,314,292,42.62903225806452,95,266.89516129032256,679,9.370967741935484,14,22.338709677419356,36,0,0,0,0
1,0.01258074731580138,0.20967788784509678, 0.9339711612227939,96,56,1.0,40,0,40,214,177,23.11340206185567,55,125.5360824742268,337,6.876288659793815,13,14.804123711340207,32,0,0,0,0
2,0.0029077526161446028,0.20860573013432995, 0.9358593931847626,109,63,1.0,46,0,46,261,222,31.62727272727273,84,197.61818181818182,599,8.2,13,18.472727272727273,36,0,0,0,0
3,-0.07921540094788015,0.17839577608139015, 0.9367086996922152,86,46,1.0,40,0,40,185,170,29.586206896551722,69,162.19540229885058,512,7.540229885057471,13,17.908045977011493,32,0,0,0,0
4,-0.04025126716610157,0.19532018026357034, 0.9374931115477282,83,46,1.0,37,0,37,200,178,27.285714285714285,54,149.79761904761904,286,7.714285714285714,13,16.80952380952381,31,0,0,0,0
