episode,Reward,R2C,REL,nb_requests,nb_accepted_requests,avr_iteration,nb_rejected_requests,node_rejection,link_rejection,nb_vnfs,nb_vls,avr_cpu_used,max_cpu_used,avr_bw_used,max_bw_used,avr_used_nodes,max_used_nodes,avr_used_links,max_used_links,nb_scaling_up,nb_scaling_down,nb_accepted_scaling,nb_rejected_scaling
0,0.6150430882514984,0.31844210250250715, 0.8234586094377675,123,116,1.0,7,0,7,532,500,75.03225806451613,137,486.41129032258067,965,17.161290322580644,24,31.661290322580644,44,0,0,0,0
1,0.7473393256600809,0.38580873719264747, 0.8580108930516068,96,96,1.0,0,0,0,389,338,42.381443298969074,98,216.53608247422682,626,12.185567010309278,21,21.484536082474225,36,0,0,0,0
2,0.6973809428773878,0.37309021160018563, 0.8638830259543576,109,106,1.0,3,0,3,461,419,65.53636363636363,103,371.9909090909091,701,15.518181818181818,22,28.30909090909091,40,0,0,0,0
3,0.7352884337327927,0.3669002057875621, 0.8699666071456923,86,86,1.0,0,0,0,375,359,61.59770114942529,116,349.62068965517244,673,15.344827586206897,21,27.850574712643677,40,0,0,0,0
4,0.7127169260999096,0.39851560809024383, 0.8719424805279306,83,81,1.0,2,0,2,364,339,58.61904761904762,129,324.3809523809524,698,15.035714285714286,24,26.857142857142858,42,0,0,0,0
