episode,Reward,R2C,REL,nb_requests,nb_accepted_requests,avr_iteration,nb_rejected_requests,node_rejection,link_rejection,nb_vnfs,nb_vls,avr_cpu_used,max_cpu_used,avr_bw_used,max_bw_used,avr_used_nodes,max_used_nodes,avr_used_links,max_used_links,nb_scaling_up,nb_scaling_down,nb_accepted_scaling,nb_rejected_scaling
0,0.7205813687424197,0.3783631582203942, 0.3901465922087464,123,122,1.360655737704918,1,0,1,566,539,78.36290322580645,140,479.7096774193548,881,17.524193548387096,23,32.41935483870968,41,0,0,0,0
1,0.7604868016480039,0.42049321928357797, 0.4359537603102657,96,96,1.0,0,0,0,389,338,42.381443298969074,98,210.71134020618555,523,12.350515463917526,21,21.556701030927837,34,0,0,0,0
2,0.7393713511149554,0.3717330484906891, 0.4342303472035392,109,109,1.18348623853211,0,0,0,477,433,66.72727272727273,124,403.93636363636364,945,15.445454545454545,24,28.536363636363635,43,0,0,0,0
3,0.7473011518783103,0.39829271172341507, 0.43087200813058607,86,86,1.0,0,0,0,375,359,61.59770114942529,116,317.2068965517241,571,16.03448275862069,22,28.39080459770115,38,0,0,0,0
4,0.7279330511231006,0.37781122073567697, 0.4272295024303837,83,82,1.0121951219512195,1,0,1,370,346,59.95238095238095,129,331.10714285714283,814,15.202380952380953,24,25.857142857142858,39,0,0,0,0
